## Sun Jul 11 04:36:26 2021
## emapper-2.1.4-2
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --data_dir /dev/shm/ -o out --output_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --temp_dir /data/shared/emapper_jobs/user_data/MM_jkofz70s --override -m diamond -i /data/shared/emapper_jobs/user_data/MM_jkofz70s/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
USA300HOU_RS00005	525378.HMPREF0793_1044	1.2e-220	772.3	COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli,4GXGA@90964|Staphylococcaceae	91061|Bacilli	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
USA300HOU_RS03880	1280.SAXN108_0786	0.0	1283.5	COG1368@1|root,COG1368@2|Bacteria,1TRMA@1239|Firmicutes,4H9S0@91061|Bacilli,4GXQ0@90964|Staphylococcaceae	91061|Bacilli	M	Catalyzes the polymerization of lipoteichoic acid (LTA) polyglycerol phosphate, a reaction that presumably uses phosphatidylglycerol (PG) as substrate	ltaS	GO:0005575,GO:0005576	2.7.8.20	ko:K19005	ko00561,ko01100,map00561,map01100	-	R05081,R10849	RC00017	ko00000,ko00001,ko01000	-	-	-	Sulfatase
USA300HOU_RS03890	1280.SAXN108_0787	0.0	1200.7	COG0488@1|root,COG0488@2|Bacteria,1TPAX@1239|Firmicutes,4H9TK@91061|Bacilli,4GXK0@90964|Staphylococcaceae	91061|Bacilli	S	ABC transporter, ATP-binding protein	yfmR	-	-	ko:K15738	-	-	-	-	ko00000,ko02000	3.A.1.120.6	-	-	ABC_tran,ABC_tran_CTD,ABC_tran_Xtn
USA300HOU_RS03895	1280.SAXN108_0788	0.0	1172.1	COG0514@1|root,COG0514@2|Bacteria,1TPN5@1239|Firmicutes,4H9QP@91061|Bacilli,4GX5P@90964|Staphylococcaceae	91061|Bacilli	L	DNA helicase	recQ	-	3.6.4.12	ko:K03654	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DEAD,HRDC,HTH_40,Helicase_C,RQC,RecQ_Zn_bind
USA300HOU_RS03900	525378.HMPREF0793_1397	1.4e-141	509.2	COG1125@1|root,COG1125@2|Bacteria,1TPV8@1239|Firmicutes,4H9SI@91061|Bacilli,4GXAM@90964|Staphylococcaceae	91061|Bacilli	E	ATP-binding protein	proV	-	-	ko:K05847	ko02010,map02010	M00209	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.12	-	-	ABC_tran
USA300HOU_RS03905	1280.SAXN108_0791	2.7e-269	934.1	COG1174@1|root,COG1732@1|root,COG1174@2|Bacteria,COG1732@2|Bacteria,1TQ7D@1239|Firmicutes,4HBDR@91061|Bacilli,4GX48@90964|Staphylococcaceae	91061|Bacilli	P	Glycine betaine	proWX	-	-	ko:K05845,ko:K05846	ko02010,map02010	M00209	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.12	-	-	BPD_transp_1,OpuAC
USA300HOU_RS03910	1280.SAXN108_0792	8.5e-201	706.1	COG0079@1|root,COG0079@2|Bacteria,1TPUV@1239|Firmicutes,4HA1H@91061|Bacilli,4GX2A@90964|Staphylococcaceae	91061|Bacilli	E	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily	hisC	-	2.6.1.9	ko:K00817	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03243	RC00006,RC00888	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_1_2
USA300HOU_RS03915	1280.SAXN108_0793	2.1e-99	368.2	COG4502@1|root,COG4502@2|Bacteria,1V87A@1239|Firmicutes,4HJ5I@91061|Bacilli,4GXJC@90964|Staphylococcaceae	91061|Bacilli	S	5'-3'-deoxyribonucleotidase	-	-	-	-	-	-	-	-	-	-	-	-	NT5C
USA300HOU_RS03920	1280.SAXN108_0794	4.2e-172	610.5	COG1597@1|root,COG1597@2|Bacteria,1TRGQ@1239|Firmicutes,4HGSN@91061|Bacilli,4GXUB@90964|Staphylococcaceae	91061|Bacilli	F	May catalyze the ATP-dependent phosphorylation of lipids other than diacylglycerol (DAG)	-	-	-	-	-	-	-	-	-	-	-	-	DAGK_cat
USA300HOU_RS03930	1280.SAXN108_0795	4.2e-278	963.4	COG3104@1|root,COG3104@2|Bacteria,1TP81@1239|Firmicutes,4HAF2@91061|Bacilli,4GX1W@90964|Staphylococcaceae	91061|Bacilli	E	transporter	dtpT	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03305	-	-	-	-	ko00000	2.A.17	-	-	PTR2
USA300HOU_RS03935	1280.SAXN108_0796	5.9e-96	356.7	COG0697@1|root,COG0780@1|root,COG0697@2|Bacteria,COG0780@2|Bacteria,1TRKD@1239|Firmicutes,4HA3N@91061|Bacilli,4GXKX@90964|Staphylococcaceae	91061|Bacilli	EG	of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
USA300HOU_RS03940	1280.SAXN108_0796	1.7e-146	525.4	COG0697@1|root,COG0780@1|root,COG0697@2|Bacteria,COG0780@2|Bacteria,1TRKD@1239|Firmicutes,4HA3N@91061|Bacilli,4GXKX@90964|Staphylococcaceae	91061|Bacilli	EG	of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
USA300HOU_RS03945	1280.SAXN108_0797	2e-70	271.6	COG1780@1|root,COG1780@2|Bacteria,1VI9J@1239|Firmicutes,4HQAU@91061|Bacilli,4GZAR@90964|Staphylococcaceae	91061|Bacilli	F	Probably involved in ribonucleotide reductase function	nrdI	GO:0000166,GO:0003674,GO:0005488,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010181,GO:0019538,GO:0032553,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564	-	ko:K03647	-	-	-	-	ko00000	-	-	-	Flavodoxin_NdrI
USA300HOU_RS03950	1280.SAXN108_0798	0.0	1374.0	COG0209@1|root,COG0209@2|Bacteria,1TPFH@1239|Firmicutes,4H9X0@91061|Bacilli,4GXM9@90964|Staphylococcaceae	91061|Bacilli	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides	nrdE	-	1.17.4.1	ko:K00525	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	iYO844.BSU17380	RNR_N,Ribonuc_red_lgC,Ribonuc_red_lgN
USA300HOU_RS03955	1280.SAXN108_0799	8.6e-184	649.4	COG0208@1|root,COG0208@2|Bacteria,1TQTH@1239|Firmicutes,4H9WX@91061|Bacilli,4GXR3@90964|Staphylococcaceae	91061|Bacilli	F	reductase, beta subunit	nrdF	-	1.17.4.1	ko:K00526	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R02017,R02018,R02019,R02024	RC00613	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	iSB619.SA_RS03915,iYO844.BSU17390	Ribonuc_red_sm
USA300HOU_RS03970	1280.SAXN108_0800	1.4e-165	589.0	COG4606@1|root,COG4606@2|Bacteria,1TSQX@1239|Firmicutes,4H9P2@91061|Bacilli,4GYF3@90964|Staphylococcaceae	91061|Bacilli	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	yclN	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
USA300HOU_RS03975	1280.SAXN108_0801	1.5e-156	558.9	COG4605@1|root,COG4605@2|Bacteria,1TP3V@1239|Firmicutes,4HAHE@91061|Bacilli,4GY2H@90964|Staphylococcaceae	91061|Bacilli	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	yclO	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
USA300HOU_RS03980	1280.SAXN108_0802	2.6e-135	488.0	COG4604@1|root,COG4604@2|Bacteria,1UHP5@1239|Firmicutes,4HBJE@91061|Bacilli,4GXNI@90964|Staphylococcaceae	91061|Bacilli	P	ABC transporter, ATP-binding protein	yclP	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
USA300HOU_RS03985	1280.SAXN108_0803	4.8e-185	653.7	COG4607@1|root,COG4607@2|Bacteria,1UXCZ@1239|Firmicutes,4HAMP@91061|Bacilli,4GX91@90964|Staphylococcaceae	91061|Bacilli	P	COG4607 ABC-type enterochelin transport system, periplasmic component	yclQ	GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	iYO844.BSU03830	Peripla_BP_2
USA300HOU_RS03990	1280.SAXN108_0804	4.3e-60	236.9	COG4357@1|root,COG4357@2|Bacteria,1VB64@1239|Firmicutes,4HMGX@91061|Bacilli,4GZDQ@90964|Staphylococcaceae	91061|Bacilli	S	CHY zinc finger	-	-	-	-	-	-	-	-	-	-	-	-	zf-CHY
USA300HOU_RS03995	1280.SAXN108_0805	2.3e-170	604.7	COG0812@1|root,COG0812@2|Bacteria,1TP3W@1239|Firmicutes,4HAD8@91061|Bacilli,4GXF8@90964|Staphylococcaceae	91061|Bacilli	M	Cell wall formation	murB	GO:0000270,GO:0003674,GO:0003824,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008762,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0030203,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0055114,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	1.3.1.98	ko:K00075	ko00520,ko00550,ko01100,map00520,map00550,map01100	-	R03191,R03192	RC02639	ko00000,ko00001,ko01000,ko01011	-	-	-	FAD_binding_4,MurB_C
USA300HOU_RS04000	1280.SAXN108_0806	1.7e-93	348.6	COG2320@1|root,COG2320@2|Bacteria,1VP5R@1239|Firmicutes,4HSXH@91061|Bacilli,4GZ80@90964|Staphylococcaceae	91061|Bacilli	S	GrpB protein	-	-	-	-	-	-	-	-	-	-	-	-	GrpB
USA300HOU_RS04005	1280.SAXN108_0807	9.3e-153	546.2	2BHYJ@1|root,32C2V@2|Bacteria,1V9E5@1239|Firmicutes,4HJVV@91061|Bacilli,4GX8K@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
USA300HOU_RS04010	1280.SAXN108_0808	6.1e-54	216.5	COG3118@1|root,COG3118@2|Bacteria,1V9TI@1239|Firmicutes,4HJJR@91061|Bacilli,4GZ9Q@90964|Staphylococcaceae	91061|Bacilli	O	Protein of unknown function (DUF2847)	ytxJ	-	-	-	-	-	-	-	-	-	-	-	DUF2847
USA300HOU_RS04015	1280.SAXN108_0809	9.6e-211	739.2	COG1929@1|root,COG1929@2|Bacteria,1TPSI@1239|Firmicutes,4HA91@91061|Bacilli,4GXHE@90964|Staphylococcaceae	91061|Bacilli	G	Glycerate kinase	-	-	2.7.1.165	ko:K00865	ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130	-	R08572	RC00002,RC00428	ko00000,ko00001,ko01000	-	-	-	Gly_kinase
USA300HOU_RS04020	1280.SAXN108_0810	6.9e-239	832.8	COG2195@1|root,COG2195@2|Bacteria,1TP3A@1239|Firmicutes,4HAZE@91061|Bacilli,4GYD9@90964|Staphylococcaceae	91061|Bacilli	E	Cleaves the N-terminal amino acid of tripeptides	pepT	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0019538,GO:0043170,GO:0044238,GO:0044424,GO:0044464,GO:0071704,GO:1901564	3.4.11.4	ko:K01258	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20,Peptidase_M42
USA300HOU_RS04025	525378.HMPREF0793_1420	2.1e-77	295.0	COG3610@1|root,COG3610@2|Bacteria,1V6P0@1239|Firmicutes,4HJ1Y@91061|Bacilli,4GY95@90964|Staphylococcaceae	91061|Bacilli	S	Putative threonine/serine exporter	-	-	-	-	-	-	-	-	-	-	-	-	ThrE_2
USA300HOU_RS04030	1280.SAXN108_0812	1.3e-126	459.1	COG2966@1|root,COG2966@2|Bacteria,1TSE8@1239|Firmicutes,4HBW1@91061|Bacilli,4GX45@90964|Staphylococcaceae	91061|Bacilli	S	Putative threonine/serine exporter	yjjP	-	-	-	-	-	-	-	-	-	-	-	ThrE
USA300HOU_RS04035	1280.SAXN108_0813	2e-186	658.3	COG2199@1|root,COG2199@2|Bacteria,1V2DV@1239|Firmicutes,4HGTT@91061|Bacilli,4GX1Q@90964|Staphylococcaceae	91061|Bacilli	T	signal transduction by protein phosphorylation	-	-	-	-	-	-	-	-	-	-	-	-	5TM-5TMR_LYT,GGDEF
USA300HOU_RS04040	1280.SAXN108_0814	1.1e-179	636.0	COG0472@1|root,COG0472@2|Bacteria,1TP9V@1239|Firmicutes,4H9KT@91061|Bacilli,4GX4X@90964|Staphylococcaceae	91061|Bacilli	M	transferase	tagO	-	2.7.8.33,2.7.8.35	ko:K02851	-	-	R08856	RC00002	ko00000,ko01000,ko01003,ko01005	-	-	-	Glycos_transf_4
USA300HOU_RS04045	1280.SAXN108_0815	3.2e-118	431.0	COG1739@1|root,COG1739@2|Bacteria,1V6MQ@1239|Firmicutes,4HBIT@91061|Bacilli,4GXPZ@90964|Staphylococcaceae	91061|Bacilli	S	Domain of unknown function (DUF1949)	yvyE	-	3.4.13.9	ko:K01271	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	DUF1949,UPF0029
USA300HOU_RS04050	1280.SAXN108_0816	7.7e-160	569.7	COG1307@1|root,COG1307@2|Bacteria,1TRM7@1239|Firmicutes,4HBIR@91061|Bacilli,4GXFV@90964|Staphylococcaceae	91061|Bacilli	S	Uncharacterised protein, DegV family COG1307	degV	-	-	-	-	-	-	-	-	-	-	-	DegV
USA300HOU_RS04055	1280.SAXN108_0817	5.2e-198	696.8	COG4098@1|root,COG4098@2|Bacteria,1TPZE@1239|Firmicutes,4HB00@91061|Bacilli,4GWYJ@90964|Staphylococcaceae	91061|Bacilli	L	COG4098 Superfamily II DNA RNA helicase required for DNA uptake (late competence protein)	comFA	GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006270,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0034645,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576	-	ko:K02240	-	M00429	-	-	ko00000,ko00002,ko02044	3.A.11.1	-	-	DEAD,Helicase_C,ResIII
USA300HOU_RS04060	1280.SAXN108_0818	2.3e-71	275.4	COG1040@1|root,COG1040@2|Bacteria,1V73S@1239|Firmicutes,4HMYP@91061|Bacilli,4GYR2@90964|Staphylococcaceae	91061|Bacilli	S	Competence protein	comFC	-	-	ko:K02242	-	M00429	-	-	ko00000,ko00002,ko02044	-	-	-	Pribosyltran
USA300HOU_RS04065	1194526.A284_09550	4.9e-86	323.9	COG1544@1|root,COG1544@2|Bacteria,1V1D5@1239|Firmicutes,4HFX9@91061|Bacilli,4GY5J@90964|Staphylococcaceae	91061|Bacilli	J	Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase	hpf	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006417,GO:0006448,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0015935,GO:0017148,GO:0019222,GO:0022626,GO:0022627,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032991,GO:0034248,GO:0034249,GO:0043021,GO:0043022,GO:0043024,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0045900,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:1990904,GO:2000112,GO:2000113	-	ko:K05808	-	-	-	-	ko00000,ko03009	-	-	-	Ribosom_S30AE_C,Ribosomal_S30AE
USA300HOU_RS04070	1280.SAXN108_0820	0.0	1631.3	COG0653@1|root,COG0653@2|Bacteria,1TPEY@1239|Firmicutes,4HA22@91061|Bacilli,4GXD7@90964|Staphylococcaceae	91061|Bacilli	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	GO:0000166,GO:0002790,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0008320,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0015399,GO:0015405,GO:0015440,GO:0015450,GO:0015462,GO:0015833,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0030554,GO:0031224,GO:0031226,GO:0031522,GO:0032553,GO:0032555,GO:0032559,GO:0032940,GO:0032991,GO:0033036,GO:0033220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043492,GO:0043952,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1904680	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW
USA300HOU_RS04090	1280.SAXN108_0822	1.7e-132	478.8	COG1388@1|root,COG3942@1|root,COG1388@2|Bacteria,COG3942@2|Bacteria,1V8WM@1239|Firmicutes,4HIMT@91061|Bacilli,4GXBH@90964|Staphylococcaceae	91061|Bacilli	M	CHAP domain	-	-	3.5.1.28	ko:K22409	-	-	-	-	ko00000,ko01000	-	CBM50	-	CHAP,LysM
USA300HOU_RS04095	1280.SAXN108_0823	3e-116	424.5	COG1896@1|root,COG1896@2|Bacteria,1TSDU@1239|Firmicutes,4HA8H@91061|Bacilli,4GXCB@90964|Staphylococcaceae	91061|Bacilli	S	HD containing hydrolase-like enzyme	yfbR	-	-	ko:K07023	-	-	-	-	ko00000	-	-	-	HD_2
USA300HOU_RS04100	1280.SAXN108_0824	1.5e-36	158.3	COG4897@1|root,COG4897@2|Bacteria,1VIG6@1239|Firmicutes,4HP46@91061|Bacilli,4GZKS@90964|Staphylococcaceae	91061|Bacilli	S	Uncharacterized protein conserved in bacteria (DUF2198)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2198
USA300HOU_RS04105	1280.SAXN108_0825	0.0	1283.5	COG0556@1|root,COG0556@2|Bacteria,1TPKB@1239|Firmicutes,4HB81@91061|Bacilli,4GY0P@90964|Staphylococcaceae	91061|Bacilli	L	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage	uvrB	-	-	ko:K03702	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	Helicase_C,ResIII,UVR,UvrB
USA300HOU_RS04110	1280.SAXN108_0826	0.0	1805.4	COG0178@1|root,COG0178@2|Bacteria,1TPIJ@1239|Firmicutes,4HAW9@91061|Bacilli,4GWWV@90964|Staphylococcaceae	91061|Bacilli	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA	-	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	ABC_tran
USA300HOU_RS04115	1280.SAXN108_0827	2.7e-166	591.3	COG1493@1|root,COG1493@2|Bacteria,1TP5Z@1239|Firmicutes,4HAXR@91061|Bacilli,4GY69@90964|Staphylococcaceae	91061|Bacilli	F	Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion	hprK	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K06023	-	-	-	-	ko00000,ko01000	-	-	-	Hpr_kinase_C,Hpr_kinase_N
USA300HOU_RS04120	1280.SAXN108_0828	1.1e-155	555.8	COG0682@1|root,COG0682@2|Bacteria,1TPAK@1239|Firmicutes,4HAT0@91061|Bacilli,4GX0P@90964|Staphylococcaceae	91061|Bacilli	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins	lgt	-	-	ko:K13292	-	-	-	-	ko00000,ko01000	-	-	-	LGT
USA300HOU_RS04125	525378.HMPREF0793_1439	1.3e-39	169.5	COG0110@1|root,COG0110@2|Bacteria,1V1SM@1239|Firmicutes,4HFTP@91061|Bacilli,4GZ4G@90964|Staphylococcaceae	91061|Bacilli	S	Hexapeptide repeat of succinyl-transferase	yvoF	-	2.3.1.79	ko:K00661	-	-	-	-	ko00000,ko01000	-	-	-	Hexapep,Hexapep_2
USA300HOU_RS04130	1280.SAXN108_0830	3.5e-274	950.3	COG0457@1|root,COG0457@2|Bacteria,1UNAZ@1239|Firmicutes,4HDQ7@91061|Bacilli,4GX7F@90964|Staphylococcaceae	91061|Bacilli	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	Coatomer_E,TPR_19,TPR_8
USA300HOU_RS04135	1280.SAXN108_0831	2e-174	618.2	COG0492@1|root,COG0492@2|Bacteria,1TNZS@1239|Firmicutes,4HA4N@91061|Bacilli,4GXGG@90964|Staphylococcaceae	91061|Bacilli	C	Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family	trxB	-	1.8.1.9	ko:K00384	ko00450,map00450	-	R02016,R03596,R09372	RC00013,RC02518,RC02873	ko00000,ko00001,ko01000	-	-	-	Pyr_redox_2
USA300HOU_RS04145	435838.HMPREF0786_02042	2.8e-144	518.1	COG1660@1|root,COG1660@2|Bacteria,1TPS4@1239|Firmicutes,4H9KM@91061|Bacilli,4GY35@90964|Staphylococcaceae	91061|Bacilli	S	Displays ATPase and GTPase activities	yvcJ	-	-	ko:K06958	-	-	-	-	ko00000,ko03019	-	-	-	ATP_bind_2
USA300HOU_RS04150	1280.SAXN108_0834	2.4e-181	641.3	COG0391@1|root,COG0391@2|Bacteria,1TPNV@1239|Firmicutes,4HA0Z@91061|Bacilli,4GXWK@90964|Staphylococcaceae	91061|Bacilli	S	Required for morphogenesis under gluconeogenic growth conditions	yvcK	-	-	-	-	-	-	-	-	-	-	-	UPF0052
USA300HOU_RS04155	1280.SAXN108_0835	3.8e-168	597.4	COG1481@1|root,COG1481@2|Bacteria,1TP2X@1239|Firmicutes,4HB4H@91061|Bacilli,4GXYB@90964|Staphylococcaceae	91061|Bacilli	K	May be required for sporulation	whiA	GO:0008150,GO:0043937,GO:0050789,GO:0050793,GO:0065007	-	ko:K09762	-	-	-	-	ko00000	-	-	-	HTH_WhiA,LAGLIDADG_WhiA,WhiA_N
